image_id,file_name,box_id,true_height_cm,pred_height_cm,abs_error_cm,pred_std_cm,camera_height_cm,image_width_px,image_height_px,bbox_width_px,bbox_height_px,bbox_width_ratio,bbox_height_ratio,bbox_area_fraction,bbox_aspect_ratio,camera_normalized_bbox_extent,bbox_fill_ratio,foreground_fraction,background_fraction,green_vertical_extent_ratio,green_centroid_y_ratio,mean_roi_brightness,touches_image_edge
img-00001,1774430024570838644287054889188-02631b6e.jpg,box-001,70.0,80.09553909301758,10.095539093017578,1.9900026580801877,140.0,3072,4096,1214,2278,0.3951822916666667,0.55615234375,0.21978155771891275,0.5329236172080772,0.7945033482142858,0.3938174473113645,0.3938174473113645,0.6061825526886355,0.913081650570676,0.27139227903201874,84.15840148925781,0
img-00002,17744301502163781479087360760338-1fad2c6d.jpg,box-001,93.0,75.0747938156128,17.925206184387207,0.9848938519146357,140.0,3072,4096,785,1852,0.2555338541666667,0.4521484375,0.1155392328898112,0.423866090712743,0.6459263392857143,0.402194907209971,0.402194907209971,0.597805092790029,0.9956803455723542,0.3783100294244456,98.5760726928711,0
img-00002,17744301502163781479087360760338-1fad2c6d.jpg,box-002,120.0,92.32621479034424,27.67378520965576,0.7465428837810569,140.0,3072,4096,756,2066,0.24609375,0.50439453125,0.12412834167480469,0.3659244917715392,0.7205636160714286,0.40246341625818877,0.40246341625818877,0.5975365837418112,1.0,0.40975002205205213,95.10088348388672,0
img-00002,17744301502163781479087360760338-1fad2c6d.jpg,box-003,132.0,104.4285888671875,27.5714111328125,0.5803348920307733,140.0,3072,4096,848,2598,0.2760416666666667,0.63427734375,0.17508697509765625,0.32640492686682065,0.9061104910714286,0.40298415326739,0.40298415326739,0.59701584673261,1.0,0.46546127451815866,101.75959014892578,0
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-001,70.0,83.4762372970581,13.476237297058105,1.6641535678477155,85.0,3072,4096,771,1437,0.2509765625,0.350830078125,0.08805012702941895,0.5365344467640919,0.825482536764706,0.39717598722659525,0.39717598722659525,0.6028240127734048,0.9478079331941545,0.3074639294647958,75.86848449707031,0
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-002,132.0,114.78759288787842,17.212407112121582,1.577612409663109,85.0,3072,4096,1193,2212,0.3883463541666667,0.5400390625,0.20972220102945963,0.5393309222423146,1.2706801470588236,0.3985856313728819,0.3985856313728819,0.6014143686271181,0.939873417721519,0.5770666741151796,120.70685577392578,0
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-003,50.0,66.31722068786621,16.31722068786621,0.2625079097173781,85.0,3072,4096,356,686,0.11588541666666667,0.16748046875,0.019408543904622395,0.5189504373177842,0.3940716911764706,0.4894683395027353,0.4894683395027353,0.5105316604972647,0.9766763848396501,0.32167099324384707,84.06946563720703,0
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-004,67.0,78.85530185699463,11.855301856994629,1.028076569435763,85.0,3072,4096,478,864,0.15559895833333334,0.2109375,0.0328216552734375,0.5532407407407407,0.4963235294117647,0.4216740275840694,0.4216740275840694,0.5783259724159306,1.0,0.4526390162284272,96.04097747802734,0
img-00003,17744301828029026857203459751808-bd8d34f7.jpg,box-005,93.0,138.9799289703369,45.979928970336914,4.495734543386523,85.0,3072,4096,623,1394,0.20279947916666666,0.34033203125,0.06901915868123372,0.4469153515064562,0.80078125,0.4095112969824817,0.4095112969824817,0.5904887030175183,1.0,0.49529909012285617,116.54833984375,0
img-00004,17744301993284573787410288776325-7480244a.jpg,box-001,54.0,111.78802108764648,57.788021087646484,1.9678445718804327,130.0,3072,4096,742,1068,0.24153645833333334,0.2607421875,0.06297874450683594,0.6947565543071161,0.4011418269230769,0.36779202883188467,0.36779202883188467,0.6322079711681153,1.0,0.4659201749719637,105.9990005493164,0
